                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                 1.1968,                 1.0773,                 1.1798,                0.52458,                0.48561,                0.47789,                0.26803,                 1.4589,                 1.2475,                   1.35,              0.0007922,              0.0007922,              0.0007922
                    124,                 1.1843,                 1.0567,                 1.1751,                0.50694,                0.49115,                0.47962,                0.26577,                 1.4737,                 1.2493,                 1.3704,              0.0007823,              0.0007823,              0.0007823
                    125,                 1.1832,                 1.0609,                  1.166,                0.51953,                0.48003,                0.47899,                0.26671,                 1.4853,                 1.2381,                 1.3857,              0.0007724,              0.0007724,              0.0007724
                    126,                 1.1937,                 1.0607,                 1.1767,                0.51898,                0.48127,                0.48046,                0.26783,                 1.4735,                 1.2362,                 1.3708,              0.0007625,              0.0007625,              0.0007625
                    127,                 1.1577,                 1.0408,                 1.1661,                0.52576,                0.48127,                0.48277,                0.26913,                 1.4666,                 1.2435,                  1.368,              0.0007526,              0.0007526,              0.0007526
                    128,                 1.1704,                 1.0438,                 1.1695,                0.52922,                0.47221,                0.47898,                0.26523,                 1.4756,                 1.2576,                 1.3716,              0.0007427,              0.0007427,              0.0007427
                    129,                 1.1713,                 1.0336,                 1.1687,                0.50291,                 0.4895,                 0.4719,                 0.2619,                 1.4864,                 1.2493,                  1.381,              0.0007328,              0.0007328,              0.0007328
                    130,                 1.1637,                  1.034,                 1.1674,                0.51464,                0.48804,                  0.481,                0.26535,                 1.4798,                 1.2418,                 1.3757,              0.0007229,              0.0007229,              0.0007229
                    131,                 1.1539,                 1.0348,                 1.1585,                0.53809,                0.47592,                 0.4807,                0.27133,                 1.4578,                 1.2166,                 1.3604,               0.000713,               0.000713,               0.000713
                    132,                 1.1638,                 1.0291,                 1.1684,                0.54496,                0.47386,                0.48703,                0.27182,                 1.4708,                 1.2174,                 1.3731,              0.0007031,              0.0007031,              0.0007031
                    133,                 1.1458,                 1.0151,                 1.1574,                0.53185,                0.48827,                0.48504,                 0.2682,                  1.487,                  1.229,                 1.3838,              0.0006932,              0.0006932,              0.0006932
                    134,                 1.1389,                0.99257,                 1.1469,                0.54246,                0.48662,                0.48579,                0.26998,                 1.4819,                   1.22,                 1.3819,              0.0006833,              0.0006833,              0.0006833
                    135,                  1.154,                 1.0182,                  1.161,                0.53574,                0.49033,                0.48757,                0.26899,                 1.4801,                 1.2198,                 1.3821,              0.0006734,              0.0006734,              0.0006734
                    136,                 1.1312,                 1.0045,                 1.1509,                0.53061,                0.48456,                0.48662,                0.26929,                  1.495,                 1.2187,                 1.3888,              0.0006635,              0.0006635,              0.0006635
                    137,                 1.1573,                 1.0205,                 1.1634,                  0.543,                 0.4755,                0.48225,                0.26986,                 1.4921,                 1.2145,                  1.392,              0.0006536,              0.0006536,              0.0006536
